sample,I_in,Q_in,I_out,Q_out,phase_err,u,nco_sin,nco_cos
1982,15989,3574,5782,-5803,-1309586,-22277219,-27683,17530
1983,15869,4074,5786,-5798,-745055,-22283773,-28208,16673
1984,15733,4571,5790,-5794,-203721,-22290611,-28803,15623
1985,15582,5063,5759,-5825,-4289694,-22297223,-29268,14732
1986,15415,5550,5763,-5821,-3727952,-22246701,-29706,13828
1987,15233,6031,5768,-5817,-3145670,-22253186,-30195,12725
1988,15036,6507,5736,-5848,-7269990,-22259985,-30571,11793
1989,14824,6976,5741,-5844,-6683460,-22208674,-30919,10849
1990,14598,7438,5745,-5839,-6144112,-22215147,-31297,9704
1991,14357,7893,5713,-5870,-10249176,-22221100,-31580,8739
1992,14102,8340,5717,-5866,-9690370,-22169707,-31833,7767
1993,13833,8779,5722,-5862,-9114732,-22175519,-32098,6590
1994,13550,9209,5690,-5893,-13210212,-22181599,-32285,5602
1995,13255,9630,5694,-5888,-12653267,-22130007,-32441,4609
1996,12946,10042,5699,-5885,-12121660,-22135480,-32567,3612
1997,12624,10443,5703,-5880,-11541912,-22140699,-32678,2410
1998,12289,10835,5671,-5911,-15679248,-22146570,-32737,1407
1999,11943,11215,5676,-5907,-15064130,-22094202,-32765,402
2000,11585,11585,5680,-5903,-14543404,-22100130,-32752,-1005
2001,11215,11943,5612,-5968,-23285850,-22104957,-32705,-2009
2002,10835,12289,5616,-5963,-22715182,-21995351,-32628,-3012
2003,10443,12624,5620,-5960,-22208376,-21999918,-32521,-4011
2004,10042,12946,5625,-5955,-21593436,-22003756,-32351,-5205
2005,9630,13255,5593,-5986,-25705236,-22008985,-32176,-6195
2006,9209,13550,5597,-5981,-25134575,-21955859,-31971,-7179
2007,8779,13833,5601,-5977,-24600750,-21960167,-31736,-8157
2008,8340,14102,5605,-5973,-24052340,-21964081,-31414,-9319
2009,7893,14357,5573,-6003,-28129530,-21968232,-31113,-10278
2010,7438,14598,5578,-5999,-27571068,-21915271,-30783,-11228
2011,6976,14824,5582,-5995,-27013928,-21919169,-30424,-12167
2012,6507,15036,5586,-5991,-26473048,-21923111,-30037,-13094
2013,6031,15233,5591,-5987,-25898469,-21926911,-29534,-14191
2014,5550,15415,5558,-6017,-29985556,-21931185,-29085,-15090
2015,5063,15582,5563,-6013,-29438325,-21877904,-28609,-15976
2016,4571,15733,5567,-6009,-28886449,-21881465,-28105,-16846
2017,4074,15869,5572,-6005,-28333174,-21885142,-27466,-17869
2018,3574,15989,5539,-6035,-32399997,-21888895,-26905,-18703
2019,3070,16093,5544,-6031,-31861214,-21835605,-26319,-19519
2020,2563,16182,5548,-6026,-31290260,-21838804,-25708,-20317
2021,2053,16254,5553,-6023,-30724913,-21842458,-25072,-21096
2022,1542,16311,5557,-6018,-30157000,-21846104,-24279,-22005
2023,1029,16351,5524,-6049,-34278714,-21849842,-23592,-22739
2024,515,16375,5529,-6044,-33727196,-21795679,-22884,-23452
2025,0,16384,5533,-6040,-33164040,-21798835,-22154,-24143
2026,-515,16375,5538,-6036,-32587776,-21802193,-21403,-24811
2027,-1029,16351,5542,-6032,-32005790,-21805774,-20475,-25582
2028,-1542,16311,5510,-6062,-36111904,-21809487,-19680,-26198
2029,-2053,16254,5514,-6058,-35571222,-21755319,-18868,-26790
2030,-2563,16182,5518,-6054,-35028314,-21758145,-18037,-27356
2031,-3070,16093,5523,-6050,-34457799,-21761056,-17189,-27896
2032,-3574,15989,5527,-6045,-33896801,-21764366,-16151,-28510
2033,-4074,15869,5495,-6075,-37989637,-21767620,-15269,-28992
2034,-4571,15733,5499,-6071,-37450973,-21713414,-14372,-29447
2035,-5063,15582,5504,-6067,-36878326,-21716014,-13462,-29874
2036,-5550,15415,5508,-6063,-36321616,-21719092,-12539,-30273
2037,-6031,15233,5513,-6059,-35763010,-21722034,-11417,-30714
2038,-6507,15036,5480,-6089,-39859140,-21725059,-10469,-31050
